AssetName,VegType,Region,CO2Emissions,WaterUse,LandUse,Carbon_ESI,Water_ESI,Land_ESI,Total_ESI
Sishen mine,cool climate grassland,Africa,7.20E+05,7.26E+03,1.39E+02,2.02E-06,3.17E-06,1.57E-05,2.09E-05
Kolomela min,warm climate grassland,Africa,2.00E+05,3.34E+03,2.53E+01,5.60E-07,1.06E-07,2.92E-07,9.58E-07
Minas-Rio,tropical forest,South America,2.10E+05,1.74E+04,4.69E+01,5.88E-07,0.00E+00,3.09E-06,3.68E-06
Dawson,warm climate grassland,Australia,1.85E+06,3.77E+03,3.09E+02,5.18E-06,8.90E-08,8.29E-06,1.36E-05
Capcoal comp,tropical forest,Australia,3.12E+06,6.35E+03,9.23E+01,8.72E-06,1.66E-08,1.94E-19,8.74E-06
Moranbah,cool climate grassland,Australia,1.96E+06,3.99E+03,3.57E+01,5.48E-06,4.11E-07,4.23E-06,1.01E-05
Grosvenor,warm climate grassland,Australia,4.88E+05,9.96E+02,6.67E+00,1.37E-06,2.35E-08,1.79E-07,1.57E-06
Kwezela (a m,temperate forest,Africa,1.70E+05,4.90E+03,5.32E+01,4.76E-07,3.92E-07,5.81E-06,6.67E-06
Isibonelo (p,temperate forest,Africa,1.84E+05,5.31E+03,1.88E+01,5.16E-07,4.25E-07,2.05E-06,2.99E-06
Goedehoop,temperate forest,Africa,1.68E+05,4.85E+03,1.30E+00,4.71E-07,3.88E-07,1.42E-07,1.00E-06
Greenside,temperate forest,Africa,1.24E+05,3.56E+03,2.22E+01,3.46E-07,2.85E-07,2.43E-06,3.06E-06
Zibulo UG,temperate forest,Africa,1.94E+05,5.59E+03,1.20E+01,5.43E-07,4.47E-07,1.31E-06,2.30E-06
Amandebult,warm climate grassland,Africa,1.08E+06,1.48E+04,2.28E+01,3.04E-06,4.70E-07,2.63E-07,3.77E-06
Mogalakwena,cool climate grassland,Africa,2.11E+06,2.88E+04,4.16E+01,5.90E-06,1.26E-05,4.72E-06,2.32E-05
